exp_flood,exp_disas,prior_cc,prior_slr,pol_party,pol_ideol,age,educ,children,income,t,cost,wtp,purchase,sit_worry,sit_prepare,glob_finan,glob_safe,female,minority,university,unemployed,married,standalone,coastal,t0,t1,t2,t3
0,0,5,5,2,2,35,6,1,150000,Control,15,19,1,5,5,5,4,1,1,1,0,1,0,1,1,0,0,0
1,0,5,5,2,1,45,7,1,62500,Control,70,90,1,4,4,4,3,0,0,1,0,0,0,0,1,0,0,0
0,0,5,5,2,3,65,4,0,12500,Control,80,99,1,2,4,4,4,0,1,0,0,0,0,1,1,0,0,0
0,0,4,4,2,2,25,6,0,37500,Control,50,77,1,4,5,5,5,1,1,1,0,0,0,1,1,0,0,0
0,1,5,5,1,1,25,3,0,87500,Treatment 1,85,50,1,4,4,5,4,0,1,0,0,0,0,0,0,1,0,0
0,0,4,4,2,3,55,7,2,87500,Treatment 1,15,0,0,2,2,4,4,0,0,1,0,1,0,1,0,1,0,0
0,0,2,1,2,3,45,6,0,62500,Control,54,45,1,2,2,2,2,1,0,1,0,0,0,1,1,0,0,0
0,0,4,4,4,4,35,4,3,62500,Treatment 2b,23,51,1,2,2,4,4,0,1,0,0,1,1,0,0,0,0,1
0,1,4,4,6,5,80,9,0,62500,Treatment 1,10,5,1,4,3,4,4,1,0,1,0,0,1,1,0,1,0,0
1,1,5,5,2,2,25,3,0,12500,Treatment 2b,50,100,1,5,5,5,4,0,0,0,0,0,0,1,0,0,0,1
0,1,1,1,7,7,35,7,2,37500,Treatment 2a,50,50,1,5,5,5,5,1,0,1,0,0,1,1,0,0,1,0
0,1,5,5,2,3,25,5,0,62500,Treatment 2a,61,69,1,4,5,5,5,0,1,0,0,0,0,1,0,0,1,0
0,0,4,4,1,1,45,5,3,87500,Treatment 2a,115,115,1,5,5,5,5,0,0,0,0,1,1,0,0,0,1,0
1,0,3,4,4,2,25,6,2,12500,Treatment 1,94,80,1,4,3,4,4,0,0,1,0,1,0,1,0,1,0,0
1,1,5,4,2,3,35,5,0,12500,Control,70,0,0,4,4,5,4,0,0,0,0,0,0,1,1,0,0,0
1,1,5,5,1,2,35,8,1,87500,Treatment 1,25,25,1,5,5,5,5,0,0,1,0,1,0,1,0,1,0,0
0,0,5,5,1,3,35,6,1,87500,Treatment 2b,60,80,1,4,5,5,5,1,0,1,0,1,1,1,0,0,0,1
0,0,3,3,7,7,45,6,2,87500,Control,60,60,1,4,4,5,4,1,0,1,0,1,1,1,1,0,0,0
0,0,5,5,1,2,25,5,0,112500,Control,70,102,1,4,5,4,5,0,1,0,0,0,0,1,1,0,0,0
0,0,5,5,6,5,35,6,0,37500,Treatment 2a,30,0,0,2,4,4,3,0,0,1,0,1,0,1,0,0,1,0
1,1,4,5,1,6,25,3,1,37500,Treatment 1,111,115,1,5,4,5,4,1,0,0,0,1,1,1,0,1,0,0
0,0,4,4,4,3,35,3,0,37500,Treatment 1,100,0,0,3,3,4,3,0,1,0,0,0,1,1,0,1,0,0
1,1,4,4,1,2,65,6,1,62500,Treatment 2b,55,65,1,4,4,4,4,0,0,1,0,1,1,1,0,0,0,1
0,0,5,5,3,3,35,3,2,62500,Treatment 1,62,80,1,5,5,5,5,0,0,0,0,0,1,0,0,1,0,0
1,1,2,4,7,6,35,6,2,37500,Treatment 1,40,40,1,5,5,5,4,1,0,1,0,0,1,1,0,1,0,0
0,0,1,1,4,5,80,3,1,12500,Treatment 2b,92,72,1,5,5,5,5,1,0,0,0,1,0,0,0,0,0,1
1,1,4,4,6,4,35,6,2,62500,Treatment 2a,31,45,1,4,4,4,4,0,0,1,0,1,0,0,0,0,1,0
0,0,3,3,6,6,25,6,0,37500,Treatment 1,60,60,1,2,4,1,4,1,0,1,0,0,0,0,0,1,0,0
0,0,4,4,4,4,35,6,0,37500,Control,56,58,1,4,4,4,4,0,0,1,0,0,0,1,1,0,0,0
1,1,1,1,6,6,35,8,2,150000,Treatment 1,50,50,1,5,5,5,5,1,0,1,0,1,1,1,0,1,0,0
0,0,3,4,3,4,25,6,1,37500,Treatment 2a,65,70,1,3,4,3,4,1,1,1,0,1,0,1,0,0,1,0
1,1,4,5,1,6,25,6,1,62500,Treatment 1,84,75,1,5,4,4,3,0,0,1,0,1,0,1,0,1,0,0
0,0,5,4,2,2,35,6,0,62500,Control,25,50,1,1,3,5,4,0,1,1,0,0,0,1,1,0,0,0
0,0,5,5,1,1,35,7,0,12500,Treatment 2b,40,35,1,5,4,5,5,0,0,1,0,0,0,0,0,0,0,1
0,1,3,4,7,4,55,6,2,87500,Control,101,101,1,3,4,4,3,1,0,1,0,1,0,1,1,0,0,0
1,0,5,5,6,4,55,6,0,112500,Treatment 2b,60,70,1,5,5,5,5,0,0,1,0,0,1,1,0,0,0,1
0,1,5,4,2,4,45,6,2,12500,Control,9,5,1,4,4,4,5,0,0,1,0,1,0,0,1,0,0,0
1,0,4,4,7,3,35,7,1,37500,Treatment 1,66,66,1,5,3,3,4,0,1,1,0,1,0,1,0,1,0,0
0,0,4,4,7,2,25,6,0,87500,Treatment 2b,79,82,1,4,4,4,4,1,1,1,0,0,0,0,0,0,0,1
0,0,5,5,5,5,35,3,0,12500,Treatment 2a,125,0,0,4,3,4,3,0,0,0,0,0,1,0,0,0,1,0
0,0,5,5,1,1,45,4,0,12500,Treatment 2a,100,100,1,4,4,5,5,1,1,0,0,1,0,1,0,0,1,0
1,1,4,4,6,6,25,6,1,62500,Treatment 2b,80,95,1,4,4,4,4,0,0,1,0,1,0,1,0,0,0,1
0,1,3,3,5,5,35,6,0,37500,Treatment 2b,20,70,1,5,4,4,4,1,1,1,0,0,0,1,0,0,0,1
0,0,4,4,6,5,45,6,1,150000,Treatment 2b,80,95,1,5,5,5,5,0,0,1,0,1,1,0,0,0,0,1
0,0,4,4,1,2,45,7,2,87500,Treatment 2b,71,100,1,4,5,5,5,0,0,1,0,1,1,1,0,0,0,1
0,1,5,5,1,2,25,3,0,37500,Treatment 1,50,100,1,4,5,5,5,0,1,0,0,0,0,1,0,1,0,0
0,0,4,4,4,4,25,3,0,62500,Treatment 1,100,0,0,2,4,4,4,0,0,0,0,1,1,0,0,1,0,0
0,0,4,4,7,7,25,6,2,87500,Treatment 2a,65,60,1,4,4,5,3,1,1,1,0,1,0,0,0,0,1,0
0,1,5,5,1,2,45,6,2,62500,Treatment 2b,75,75,1,4,5,4,4,0,0,1,0,1,1,0,0,0,0,1
0,1,5,5,1,2,35,6,0,112500,Control,74,72,1,5,5,5,5,1,1,1,0,0,0,1,1,0,0,0
0,1,4,3,6,6,25,7,0,62500,Treatment 2b,105,110,1,2,4,5,4,1,0,1,0,1,0,1,0,0,0,1
0,1,5,4,3,3,35,3,0,37500,Treatment 2a,27,47,1,4,4,4,4,0,0,0,0,0,0,1,0,0,1,0
0,1,2,4,1,4,45,4,4,112500,Control,80,125,1,4,5,5,4,0,1,0,0,1,1,1,1,0,0,0
0,1,5,5,4,3,35,6,0,37500,Control,100,0,0,5,5,5,5,0,1,1,0,0,1,1,1,0,0,0
1,1,4,5,7,1,25,6,1,62500,Treatment 2b,75,100,1,3,4,4,5,1,0,1,0,1,1,0,0,0,0,1
0,0,3,3,6,4,35,3,1,112500,Treatment 1,51,0,0,4,4,5,4,0,1,0,0,1,1,0,0,1,0,0
1,0,4,3,4,5,25,6,2,62500,Treatment 2a,60,102,1,2,3,4,2,0,0,1,0,1,0,1,0,0,1,0
